Esperanto,Lowercase Esperanto,Trimmed,Esperanto Length
aro ,aro ,aro,3
aso ,aso ,aso,3
aŭo ,aŭo ,aŭo,3
ava ,ava ,ava,3
avo ,avo ,avo,3
BEA ,bea ,bea,3
bei ,bei ,bei,3
beo ,beo ,beo,3
Bes ,bes ,bes,3
bis ,bis ,bis,3
bo- ,bo- ,bo-,3
boa ,boa ,boa,3
buo ,buo ,buo,3
bv. ,bv. ,bv.,3
ĉar ,ĉar ,ĉar,3
ĉaŭ ,ĉaŭ ,ĉaŭ,3
cel ,cel ,cel,3
cia ,cia ,cia,3
ĉia ,ĉia ,ĉia,3
ĉie ,ĉie ,ĉie,3
cii ,cii ,cii,3
ĉio ,ĉio ,ĉio,3
cis ,cis ,cis,3
ĉit ,ĉit ,ĉit,3
ĉit ,ĉit ,ĉit,3
ĉiu ,ĉiu ,ĉiu,3
dek ,dek ,dek,3
des ,des ,des,3
dia ,dia ,dia,3
die ,die ,die,3
dio ,dio ,dio,3
Dio ,dio ,dio,3
dua ,dua ,dua,3
due ,due ,due,3
dum ,dum ,dum,3
duo ,duo ,duo,3
ebi ,ebi ,ebi,3
ebo ,ebo ,ebo,3
eco ,eco ,eco,3
edo ,edo ,edo,3
ega ,ega ,ega,3
ege ,ege ,ege,3
eĝo ,eĝo ,eĝo,3
eĥi ,eĥi ,eĥi,3
eĥo ,eĥo ,eĥo,3
ejo ,ejo ,ejo,3
ek- ,ek- ,ek-,3
eka ,eka ,eka,3
eki ,eki ,eki,3
eko ,eko ,eko,3
elo ,elo ,elo,3
ema ,ema ,ema,3
emi ,emi ,emi,3
emo ,emo ,emo,3
ena ,ena ,ena,3
ene ,ene ,ene,3
eno ,eno ,eno,3
ero ,ero ,ero,3
eta ,eta ,eta,3
Eva ,eva ,eva,3
Evo ,evo ,evo,3
far ,far ,far,3
fea ,fea ,fea,3
fek ,fek ,fek,3
feo ,feo ,feo,3
fi- ,fi- ,fi-,3
Fi! ,fi! ,fi!,3
fia ,fia ,fia,3
fie ,fie ,fie,3
fio ,fio ,fio,3
for ,for ,for,3
ge- ,ge- ,ge-,3
Geo ,geo ,geo,3
ĝia ,ĝia ,ĝia,3
ĝis ,ĝis ,ĝis,3
Ĝon ,ĝon ,ĝon,3
goo ,goo ,goo,3
ĝui ,ĝui ,ĝui,3
ĝuo ,ĝuo ,ĝuo,3
ĥio ,ĥio ,ĥio,3
hui ,hui ,hui,3
huo ,huo ,huo,3
iai ,iai ,iai,3
ial ,ial ,ial,3
iam ,iam ,iam,3
iao ,iao ,iao,3
iĉi ,iĉi ,iĉi,3
ico ,ico ,ico,3
iĉo ,iĉo ,iĉo,3
ido ,ido ,ido,3
Ido ,ido ,ido,3
iel ,iel ,iel,3
ien ,ien ,ien,3
ies ,ies ,ies,3
igi ,igi ,igi,3
iĝi ,iĝi ,iĝi,3
il. ,il. ,il.,3
ili ,ili ,ili,3
ilo ,ilo ,ilo,3
ina ,ina ,ina,3
ino ,ino ,ino,3
iom ,iom ,iom,3
ion ,ion ,ion,3
ipo ,ipo ,ipo,3
iri ,iri ,iri,3
iro ,iro ,iro,3
iuj ,iuj ,iuj,3
jam ,jam ,jam,3
jen ,jen ,jen,3
jes ,jes ,jes,3
ĵus ,ĵus ,ĵus,3
kaj ,kaj ,kaj,3
keo ,keo ,keo,3
kia ,kia ,kia,3
kie ,kie ,kie,3
kio ,kio ,kio,3
kiu ,kiu ,kiu,3
kp. ,kp. ,kp.,3
ktp ,ktp ,ktp,3
kun ,kun ,kun,3
laŭ ,laŭ ,laŭ,3
LDA ,lda ,lda,3
lia ,lia ,lia,3
Lio ,lio ,lio,3
lui ,lui ,lui,3
luo ,luo ,luo,3
mem ,mem ,mem,3
mia ,mia ,mia,3
mil ,mil ,mil,3
mio ,mio ,mio,3
muo ,muo ,muo,3
n-a ,n-a ,n-a,3
naŭ ,naŭ ,naŭ,3
ne- ,ne- ,ne-,3
nea ,nea ,nea,3
nee ,nee ,nee,3
nei ,nei ,nei,3
nek ,nek ,nek,3
neo ,neo ,neo,3
nia ,nia ,nia,3
NLM ,nlm ,nlm,3
Noa ,noa ,noa,3
noo ,noo ,noo,3
NUL ,nul ,nul,3
nul ,nul ,nul,3
nun ,nun ,nun,3
nuo ,nuo ,nuo,3
nur ,nur ,nur,3
OAK ,oak ,oak,3
Obo ,obo ,obo,3
odo ,odo ,odo,3
oka ,oka ,oka,3
oke ,oke ,oke,3
oko ,oko ,oko,3
OLE ,ole ,ole,3
oma ,oma ,oma,3
omo ,omo ,omo,3
Omo ,omo ,omo,3
oni ,oni ,oni,3
ono ,ono ,ono,3
opa ,opa ,opa,3
ope ,ope ,ope,3
opo ,opo ,opo,3
ora ,ora ,ora,3
ori ,ori ,ori,3
oro ,oro ,oro,3
ova ,ova ,ova,3
ovo ,ovo ,ovo,3
pĉk ,pĉk ,pĉk,3
per ,per ,per,3
pia ,pia ,pia,3
pie ,pie ,pie,3
pio ,pio ,pio,3
PIV ,piv ,piv,3
pk. ,pk. ,pk.,3
pli ,pli ,pli,3
plu ,plu ,plu,3
pm. ,pm. ,pm.,3
poa ,poa ,poa,3
poo ,poo ,poo,3
por ,por ,por,3
pra ,pra ,pra,3
pri ,pri ,pri,3
pro ,pro ,pro,3
ptm ,ptm ,ptm,3
PTT ,ptt ,ptt,3
rad ,rad ,rad,3
Rao ,rao ,rao,3
re- ,re- ,re-,3
ree ,ree ,ree,3
ria ,ria ,ria,3
roo ,roo ,roo,3
rui ,rui ,rui,3
ruk ,ruk ,ruk,3
rul ,rul ,rul,3
RVB ,rvb ,rvb,3
SAT ,sat ,sat,3
sed ,sed ,sed,3
sen ,sen ,sen,3
seo ,seo ,seo,3
seo ,seo ,seo,3
sep ,sep ,sep,3
ses ,ses ,ses,3
sia ,sia ,sia,3
ŝia ,ŝia ,ŝia,3
ŝio ,ŝio ,ŝio,3
sis ,sis ,sis,3
SSE ,sse ,sse,3
sub ,sub ,sub,3
ŝuo ,ŝuo ,ŝuo,3
sur ,sur ,sur,3
tao ,tao ,tao,3
teo ,teo ,teo,3
tia ,tia ,tia,3
tie ,tie ,tie,3
tio ,tio ,tio,3
tiu ,tiu ,tiu,3
tra ,tra ,tra,3
tre ,tre ,tre,3
tri ,tri ,tri,3
tro ,tro ,tro,3
TTT ,ttt ,ttt,3
tuj ,tuj ,tuj,3
UEA ,uea ,uea,3
ujo ,ujo ,ujo,3
ulo ,ulo ,ulo,3
umo ,umo ,umo,3
unu ,unu ,unu,3
ŭoŭ ,ŭoŭ ,ŭoŭ,3
ups ,ups ,ups,3
uro ,uro ,uro,3
USB ,usb ,usb,3
uvo ,uvo ,uvo,3
uzi ,uzi ,uzi,3
uzo ,uzo ,uzo,3
vao ,vao ,vao,3
vea ,vea ,vea,3
vee ,vee ,vee,3
vei ,vei ,vei,3
veo ,veo ,veo,3
via ,via ,via,3
vio ,vio ,vio,3
zeo ,zeo ,zeo,3
zoo ,zoo ,zoo,3
-aĉ- ,-aĉ- ,-aĉ-,4
-ad- ,-ad- ,-ad-,4
-aĵ- ,-aĵ- ,-aĵ-,4
-an- ,-an- ,-an-,4
-ar- ,-ar- ,-ar-,4
-ata ,-ata ,-ata,4
-ĉj- ,-ĉj- ,-ĉj-,4
-ec- ,-ec- ,-ec-,4
-eca ,-eca ,-eca,4
-eg- ,-eg- ,-eg-,4
-ej- ,-ej- ,-ej-,4
-ek- ,-ek- ,-ek-,4
-em- ,-em- ,-em-,4
-er- ,-er- ,-er-,4
-et- ,-et- ,-et-,4
-iĉ- ,-iĉ- ,-iĉ-,4
-id- ,-id- ,-id-,4
-ig- ,-ig- ,-ig-,4
-iĝ- ,-iĝ- ,-iĝ-,4
-il- ,-il- ,-il-,4
-in- ,-in- ,-in-,4
-ita ,-ita ,-ita,4
-nj- ,-nj- ,-nj-,4
-on- ,-on- ,-on-,4
-op- ,-op- ,-op-,4
-ota ,-ota ,-ota,4
-oza ,-oza ,-oza,4
-uj- ,-uj- ,-uj-,4
-ul- ,-ul- ,-ul-,4
-um- ,-um- ,-um-,4
a.K. ,a.k. ,a.k.,4
abia ,abia ,abia,4
abio ,abio ,abio,4
aĉea ,aĉea ,aĉea,4
Adma ,adma ,adma,4
adzo ,adzo ,adzo,4
aedo ,aedo ,aedo,4
aera ,aera ,aera,4
aere ,aere ,aere,4
aeri ,aeri ,aeri,4
aero ,aero ,aero,4
afta ,afta ,afta,4
afto ,afto ,afto,4
agao ,agao ,agao,4
aĝio ,aĝio ,aĝio,4
agla ,agla ,agla,4
Aglo ,aglo ,aglo,4
aglo ,aglo ,aglo,4
agro ,agro ,agro,4
aina ,aina ,aina,4
Aino ,aino ,aino,4
ajla ,ajla ,ajla,4
ajli ,ajli ,ajli,4
ajlo ,ajlo ,ajlo,4
ajna ,ajna ,ajna,4
ajne ,ajne ,ajne,4
aĵoj ,aĵoj ,aĵoj,4
Ajro ,ajro ,ajro,4
ajzi ,ajzi ,ajzi,4
Akad ,akad ,akad,4
Akan ,akan ,akan,4
akeo ,akeo ,akeo,4
akna ,akna ,akna,4
akno ,akno ,akno,4
akra ,akra ,akra,4
akre ,akre ,akre,4
akro ,akro ,akro,4
aksa ,aksa ,aksa,4
Aksa ,aksa ,aksa,4
akse ,akse ,akse,4
akso ,akso ,akso,4
akto ,akto ,akto,4
akva ,akva ,akva,4
akvi ,akvi ,akvi,4
akvo ,akvo ,akvo,4
albo ,albo ,albo,4
aldo ,aldo ,aldo,4
aleo ,aleo ,aleo,4
alfa ,alfa ,alfa,4
alfo ,alfo ,alfo,4
alga ,alga ,alga,4
algo ,algo ,algo,4
alia ,alia ,alia,4
alie ,alie ,alie,4
Alio ,alio ,alio,4
alio ,alio ,alio,4
alko ,alko ,alko,4
Almo ,almo ,almo,4
alna ,alna ,alna,4
alno ,alno ,alno,4
aloo ,aloo ,aloo,4
alpa ,alpa ,alpa,4
alpo ,alpo ,alpo,4
alta ,alta ,alta,4
alte ,alte ,alte,4
alti ,alti ,alti,4
alto ,alto ,alto,4
Alvo ,alvo ,alvo,4
amao ,amao ,amao,4
amba ,amba ,amba,4
amio ,amio ,amio,4
Anao ,anao ,anao,4
anĉo ,anĉo ,anĉo,4
anda ,anda ,anda,4
anĥo ,anĥo ,anĥo,4
Anno ,anno ,anno,4
anse ,anse ,anse,4
anso ,anso ,anso,4
apio ,apio ,apio,4
apra ,apra ,apra,4
apro ,apro ,apro,4
apud ,apud ,apud,4
arao ,arao ,arao,4
arba ,arba ,arba,4
arbo ,arbo ,arbo,4
arĉo ,arĉo ,arĉo,4
arda ,arda ,arda,4
arde ,arde ,arde,4
ardi ,ardi ,ardi,4
ardo ,ardo ,ardo,4
areo ,areo ,areo,4
Argo ,argo ,argo,4
aria ,aria ,aria,4
ario ,ario ,ario,4
arja ,arja ,arja,4
arjo ,arjo ,arjo,4
arka ,arka ,arka,4
arki ,arki ,arki,4
arko ,arko ,arko,4
armi ,armi ,armi,4
armo ,armo ,armo,4
arta ,arta ,arta,4
arte ,arte ,arte,4
arto ,arto ,arto,4
asko ,asko ,asko,4
ateo ,ateo ,ateo,4
atm. ,atm. ,atm.,4
atmo ,atmo ,atmo,4
aŭda ,aŭda ,aŭda,4
aŭdi ,aŭdi ,aŭdi,4
aŭdo ,aŭdo ,aŭdo,4
aŭko ,aŭko ,aŭko,4
aŭlo ,aŭlo ,aŭlo,4
aŭra ,aŭra ,aŭra,4
aŭro ,aŭro ,aŭro,4
aŭta ,aŭta ,aŭta,4
aŭte ,aŭte ,aŭte,4
aŭti ,aŭti ,aŭti,4
aŭto ,aŭto ,aŭto,4
avia ,avia ,avia,4
avii ,avii ,avii,4
avio ,avio ,avio,4
Azia ,azia ,azia,4
Azio ,azio ,azio,4
azoa ,azoa ,azoa,4
b.t. ,b.t. ,b.t.,4
baco ,baco ,baco,4
baĉo ,baĉo ,baĉo,4
Baĥo ,baĥo ,baĥo,4
bajt ,bajt ,bajt,4
baki ,baki ,baki,4
balo ,balo ,balo,4
bani ,bani ,bani,4
bano ,bano ,bano,4
bari ,bari ,bari,4
baro ,baro ,baro,4
basa ,basa ,basa,4
baso ,baso ,baso,4
Baŝo ,baŝo ,baŝo,4
baŝo ,baŝo ,baŝo,4
bati ,bati ,bati,4
bato ,bato ,bato,4
baŭo ,baŭo ,baŭo,4
bavi ,bavi ,bavi,4
baza ,baza ,baza,4
baze ,baze ,baze,4
bazi ,bazi ,bazi,4
bazo ,bazo ,bazo,4
beba ,beba ,beba,4
bebo ,bebo ,bebo,4
bedo ,bedo ,bedo,4
beja ,beja ,beja,4
bejo ,bejo ,bejo,4
beki ,beki ,beki,4
beko ,beko ,beko,4
bela ,bela ,bela,4
bele ,bele ,bele,4
beli ,beli ,beli,4
belo ,belo ,belo,4
Belo ,belo ,belo,4
bena ,bena ,bena,4
beni ,beni ,beni,4
beno ,beno ,beno,4
bero ,bero ,bero,4
beta ,beta ,beta,4
beto ,beto ,beto,4
bido ,bido ,bido,4
bilo ,bilo ,bilo,4
biri ,biri ,biri,4
biro ,biro ,biro,4
bis! ,bis! ,bis!,4
bisi ,bisi ,bisi,4
biso ,biso ,biso,4
bito ,bito ,bito,4
bivo ,bivo ,bivo,4
blua ,blua ,blua,4
bluo ,bluo ,bluo,4
boao ,boao ,boao,4
bobo ,bobo ,bobo,4
boji ,boji ,boji,4
bojo ,bojo ,bojo,4
boko ,boko ,boko,4
bole ,bole ,bole,4
boli ,boli ,boli,4
bolo ,bolo ,bolo,4
bona ,bona ,bona,4
bone ,bone ,bone,4
boni ,boni ,boni,4
bono ,bono ,bono,4
bopo ,bopo ,bopo,4
bori ,bori ,bori,4
boro ,boro ,boro,4
bosi ,bosi ,bosi,4
boso ,boso ,boso,4
boto ,boto ,boto,4
bova ,bova ,bova,4
bovo ,bovo ,bovo,4
Bovo ,bovo ,bovo,4
brua ,brua ,brua,4
brue ,brue ,brue,4
brui ,brui ,brui,4
bruo ,bruo ,bruo,4
bubo ,bubo ,bubo,4
buĉi ,buĉi ,buĉi,4
budi ,budi ,budi,4
budo ,budo ,budo,4
bufo ,bufo ,bufo,4
Bugo ,bugo ,bugo,4
buki ,buki ,buki,4
buko ,buko ,buko,4
bulo ,bulo ,bulo,4
Bulo ,bulo ,bulo,4
bumo ,bumo ,bumo,4
buro ,buro ,buro,4
busa ,busa ,busa,4
buŝa ,buŝa ,buŝa,4
buŝe ,buŝe ,buŝe,4
buso ,buso ,buso,4
buŝo ,buŝo ,buŝo,4
buti ,buti ,buti,4
Buto ,buto ,buto,4
ĉada ,ĉada ,ĉada,4
Ĉado ,ĉado ,ĉado,4
ĉako ,ĉako ,ĉako,4
ĉamo ,ĉamo ,ĉamo,4
ĉano ,ĉano ,ĉano,4
ĉapo ,ĉapo ,ĉapo,4
cara ,cara ,cara,4
caro ,caro ,caro,4
ĉaro ,ĉaro ,ĉaro,4
ĉasi ,ĉasi ,ĉasi,4
ĉaso ,ĉaso ,ĉaso,4
ĉaŭo ,ĉaŭo ,ĉaŭo,4
cebo ,cebo ,cebo,4
cedi ,cedi ,cedi,4
cedo ,cedo ,cedo,4
ĉef- ,ĉef- ,ĉef-,4
ĉefa ,ĉefa ,ĉefa,4
ĉefe ,ĉefe ,ĉefe,4
ĉefi ,ĉefi ,ĉefi,4
ĉefo ,ĉefo ,ĉefo,4
Ĉeĥa ,ĉeĥa ,ĉeĥa,4
Ĉeĥo ,ĉeĥo ,ĉeĥo,4
ĉeko ,ĉeko ,ĉeko,4
cela ,cela ,cela,4
ĉela ,ĉela ,ĉela,4
cele ,cele ,cele,4
celi ,celi ,celi,4
celo ,celo ,celo,4
ĉelo ,ĉelo ,ĉelo,4
ĉene ,ĉene ,ĉene,4
ĉeni ,ĉeni ,ĉeni,4
ĉeno ,ĉeno ,ĉeno,4
cent ,cent ,cent,4
cepo ,cepo ,cepo,4
ĉesi ,ĉesi ,ĉesi,4
ĉeso ,ĉeso ,ĉeso,4
ĉial ,ĉial ,ĉial,4
ĉiam ,ĉiam ,ĉiam,4
cico ,cico ,cico,4
ĉiea ,ĉiea ,ĉiea,4
ĉiel ,ĉiel ,ĉiel,4
ĉies ,ĉies ,ĉies,4
ĉifi ,ĉifi ,ĉifi,4
ciki ,ciki ,ciki,4
Ĉiko ,ĉiko ,ĉiko,4
ĉiko ,ĉiko ,ĉiko,4
ĉilo ,ĉilo ,ĉilo,4
cima ,cima ,cima,4
cimo ,cimo ,cimo,4
ĉimo ,ĉimo ,ĉimo,4
ĉina ,ĉina ,ĉina,4
ĉino ,ĉino ,ĉino,4
Ĉino ,ĉino ,ĉino,4
ĉiom ,ĉiom ,ĉiom,4
ĉipa ,ĉipa ,ĉipa,4
ĉipe ,ĉipe ,ĉipe,4
ĉipo ,ĉipo ,ĉipo,4
ciri ,ciri ,ciri,4
ciro ,ciro ,ciro,4
ĉiro ,ĉiro ,ĉiro,4
citi ,citi ,citi,4
cito ,cito ,cito,4
ĉiuj ,ĉiuj ,ĉiuj,4
ĉizi ,ĉizi ,ĉizi,4
ĉjio ,ĉjio ,ĉjio,4
codo ,codo ,codo,4
colo ,colo ,colo,4
ĉoto ,ĉoto ,ĉoto,4
ĉuko ,ĉuko ,ĉuko,4
ĉuri ,ĉuri ,ĉuri,4
ĉuro ,ĉuro ,ĉuro,4
D-ro ,d-ro ,d-ro,4
dabi ,dabi ,dabi,4
daco ,daco ,daco,4
dago ,dago ,dago,4
Dako ,dako ,dako,4
dalo ,dalo ,dalo,4
damo ,damo ,damo,4
dana ,dana ,dana,4
Dano ,dano ,dano,4
dati ,dati ,dati,4
dato ,dato ,dato,4
daŭo ,daŭo ,daŭo,4
deca ,deca ,deca,4
dece ,dece ,dece,4
deci ,deci ,deci,4
deco ,deco ,deco,4
deka ,deka ,deka,4
deke ,deke ,deke,4
deko ,deko ,deko,4
Del. ,del. ,del.,4
devi ,devi ,devi,4
devo ,devo ,devo,4
dez. ,dez. ,dez.,4
dido ,dido ,dido,4
digi ,digi ,digi,4
digo ,digo ,digo,4
dika ,dika ,dika,4
dike ,dike ,dike,4
diko ,diko ,diko,4
dino ,dino ,dino,4
diri ,diri ,diri,4
diro ,diro ,diro,4
dis- ,dis- ,dis-,4
disa ,disa ,disa,4
dise ,dise ,dise,4
disi ,disi ,disi,4
dogo ,dogo ,dogo,4
doĝo ,doĝo ,doĝo,4
doko ,doko ,doko,4
dom- ,dom- ,dom-,4
doma ,doma ,doma,4
dome ,dome ,dome,4
domo ,domo ,domo,4
doni ,doni ,doni,4
dono ,dono ,dono,4
doti ,doti ,doti,4
doto ,doto ,doto,4
dozi ,dozi ,dozi,4
dozo ,dozo ,dozo,4
duba ,duba ,duba,4
dube ,dube ,dube,4
dubi ,dubi ,dubi,4
dubo ,dubo ,dubo,4
duka ,duka ,duka,4
duko ,duko ,duko,4
duma ,duma ,duma,4
dŭma ,dŭma ,dŭma,4
dume ,dume ,dume,4
duno ,duno ,duno,4
dupo ,dupo ,dupo,4
dura ,dura ,dura,4
duro ,duro ,duro,4
duŝi ,duŝi ,duŝi,4
duŝo ,duŝo ,duŝo,4
duto ,duto ,duto,4
duzo ,duzo ,duzo,4
Eako ,eako ,eako,4
ebla ,ebla ,ebla,4
eble ,eble ,eble,4
ebli ,ebli ,ebli,4
eblo ,eblo ,eblo,4
Ebro ,ebro ,ebro,4
ecoj ,ecoj ,ecoj,4
edro ,edro ,edro,4
edza ,edza ,edza,4
edzo ,edzo ,edzo,4
egea ,egea ,egea,4
egoo ,egoo ,egoo,4
ejlo ,ejlo ,ejlo,4
Ejro ,ejro ,ejro,4
ekde ,ekde ,ekde,4
ekio ,ekio ,ekio,4
ekoo ,ekoo ,ekoo,4
eks- ,eks- ,eks-,4
eksa ,eksa ,eksa,4
eksp ,eksp ,eksp,4
ekz. ,ekz. ,ekz.,4
Elbo ,elbo ,elbo,4
eld. ,eld. ,eld.,4
elfa ,elfa ,elfa,4
elfo ,elfo ,elfo,4
Elio ,elio ,elio,4
ELNA ,elna ,elna,4
eluz ,eluz ,eluz,4
emuo ,emuo ,emuo,4
endi ,endi ,endi,4
enen ,enen ,enen,4
Eneo ,eneo ,eneo,4
enga ,enga ,enga,4
ento ,ento ,ento,4
enua ,enua ,enua,4
enui ,enui ,enui,4
enuo ,enuo ,enuo,4
eola ,eola ,eola,4
Eolo ,eolo ,eolo,4
eono ,eono ,eono,4
Eoso ,eoso ,eoso,4
erao ,erao ,erao,4
erco ,erco ,erco,4
ergo ,ergo ,ergo,4
Erio ,erio ,erio,4
erpi ,erpi ,erpi,4
eseo ,eseo ,eseo,4
esti ,esti ,esti,4
esto ,esto ,esto,4
estu ,estu ,estu,4
etao ,etao ,etao,4
etna ,etna ,etna,4
etno ,etno ,etno,4
Etno ,etno ,etno,4
eŭro ,eŭro ,eŭro,4
evea ,evea ,evea,4
fabo ,fabo ,fabo,4
faco ,faco ,faco,4
fadi ,fadi ,fadi,4
fado ,fado ,fado,4
fago ,fago ,fago,4
fajo ,fajo ,fajo,4
faka ,faka ,faka,4
fako ,fako ,fako,4
fali ,fali ,fali,4
falo ,falo ,falo,4
fama ,fama ,fama,4
fame ,fame ,fame,4
fami ,fami ,fami,4
famo ,famo ,famo,4
fano ,fano ,fano,4
fare ,fare ,fare,4
fari ,fari ,fari,4
faro ,faro ,faro,4
fato ,fato ,fato,4
fava ,fava ,fava,4
favo ,favo ,favo,4
fazo ,fazo ,fazo,4
Feba ,feba ,feba,4
Febo ,febo ,febo,4
feĉo ,feĉo ,feĉo,4
Fek! ,fek! ,fek!,4
feka ,feka ,feka,4
feki ,feki ,feki,4
feko ,feko ,feko,4
fela ,fela ,fela,4
felo ,felo ,felo,4
feno ,feno ,feno,4
fera ,fera ,fera,4
fero ,fero ,fero,4
feta ,feta ,feta,4
feto ,feto ,feto,4
fezo ,fezo ,fezo,4
fidi ,fidi ,fidi,4
fido ,fido ,fido,4
figo ,figo ,figo,4
fiki ,fiki ,fiki,4
fiko ,fiko ,fiko,4
filo ,filo ,filo,4
fina ,fina ,fina,4
fine ,fine ,fine,4
fini ,fini ,fini,4
fino ,fino ,fino,4
fiŝi ,fiŝi ,fiŝi,4
fiŝo ,fiŝo ,fiŝo,4
fleo ,fleo ,fleo,4
flua ,flua ,flua,4
flue ,flue ,flue,4
flui ,flui ,flui,4
fluo ,fluo ,fluo,4
Fobo ,fobo ,fobo,4
foja ,foja ,foja,4
foje ,foje ,foje,4
fojo ,fojo ,fojo,4
foko ,foko ,foko,4
fola ,fola ,fola,4
fona ,fona ,fona,4
fono ,fono ,fono,4
fora ,fora ,fora,4
fore ,fore ,fore,4
fori ,fori ,fori,4
fosi ,fosi ,fosi,4
foso ,foso ,foso,4
foti ,foti ,foti,4
foto ,foto ,foto,4
frua ,frua ,frua,4
frue ,frue ,frue,4
frui ,frui ,frui,4
fuĝi ,fuĝi ,fuĝi,4
fugo ,fugo ,fugo,4
fuĝo ,fuĝo ,fuĝo,4
fuko ,fuko ,fuko,4
fula ,fula ,fula,4
fuli ,fuli ,fuli,4
fuma ,fuma ,fuma,4
fumi ,fumi ,fumi,4
fumo ,fumo ,fumo,4
furo ,furo ,furo,4
fuŝ- ,fuŝ- ,fuŝ-,4
fuŝa ,fuŝa ,fuŝa,4
fuŝe ,fuŝe ,fuŝe,4
fuŝi ,fuŝi ,fuŝi,4
futo ,futo ,futo,4
fuzi ,fuzi ,fuzi,4
gado ,gado ,gado,4
gafo ,gafo ,gafo,4
gago ,gago ,gago,4
gaja ,gaja ,gaja,4
gaje ,gaje ,gaje,4
gaji ,gaji ,gaji,4
Gajo ,gajo ,gajo,4
gaki ,gaki ,gaki,4
gala ,gala ,gala,4
galo ,galo ,galo,4
gamo ,gamo ,gamo,4
gana ,gana ,gana,4
Gano ,gano ,gano,4
gapi ,gapi ,gapi,4
gasa ,gasa ,gasa,4
gaso ,gaso ,gaso,4
Ĝavo ,ĝavo ,ĝavo,4
gaza ,gaza ,gaza,4
gazo ,gazo ,gazo,4
ĝazo ,ĝazo ,ĝazo,4
geja ,geja ,geja,4
gejo ,gejo ,gejo,4
geko ,geko ,geko,4
gelo ,gelo ,gelo,4
ĝelo ,ĝelo ,ĝelo,4
ĝeme ,ĝeme ,ĝeme,4
ĝemi ,ĝemi ,ĝemi,4
gemo ,gemo ,gemo,4
ĝemo ,ĝemo ,ĝemo,4
